ir_tab,uv_tab,coincidence_tab
26.70353755551324,32.98672286269283,0.21796948894615809
23.561944901923447,36.12831551628262,0.7521446042875695
20.420352248333653,39.26990816987241,0.5428391705001954
17.27875959474386,42.411500823462205,0.44916837903041185
14.137166941154069,45.553093477051995,0.3974741140640226
10.995574287564274,48.69468613064179,0.36487827006829415
7.853981633974485,51.83627878423158,0.34246207300954257
4.7123889803846915,54.97787143782138,0.32610925250608946
1.5707963267948983,58.11946409141117,0.3136625008228739
-1.5707963267948948,61.26105674500096,0.30387915260894216
-4.712388980384688,64.40264939859075,0.2959920491528539
-7.853981633974485,67.54424205218055,0.28950179879503396
-10.995574287564267,70.68583470577033,0.28406958646122693
-14.137166941154064,73.82742735936013,0.27945754345576146
-17.27875959474386,76.96902001294993,0.275493910172603
