N_step_tab,coincidence_tab
10.0,2.7781460652352703e+74
14.04004245548316,5.614937797057692e+93
19.71227921517696,9.30140680763961e+109
27.67612370754228,4.5852743182675726e+129
38.85739518570976,3.751742677640316e+141
54.5559478116852,1.1196664851350951e+139
76.59678234751834,1.3036869814077417e+104
107.542207611256,6048542752655.139
150.98971606184202,1.0485616930537045
211.99020238496072,0.6311737447071215
297.63514416313194,0.5440724806386168
417.8810060294219,0.5242795968383904
586.7067065993098,0.5196830945421569
823.7387069571012,0.5186150811145331
1156.5326417902502,0.5183660467069815
1623.776739188721,0.5183071145768935
2279.789435643565,0.5182932901628576
3200.8340465997644,0.5182900934513712
4493.984590721666,0.5182894006600235
6309.57344480193,0.5182894400242446
