N_step_tab,coincidence_tab
10.0,1.0868904551289113e+80
14.04004245548316,7.341141900596282e+101
19.71227921517696,1.9089226700154433e+121
27.67612370754228,1.6223138787823914e+146
38.85739518570976,6.7755821509972596e+165
54.5559478116852,4.585163956006254e+173
76.59678234751834,4.2009692149987274e+155
107.542207611256,6.209160273945928e+87
150.98971606184202,34.456522515972644
211.99020238496072,1.1262488830173718
297.63514416313194,0.779165983046118
417.8810060294219,0.7168074984007415
586.7067065993098,0.7036513359899396
823.7387069571012,0.7007951703842392
1156.5326417902502,0.7001683743317957
1623.776739188721,0.7000283326887317
2279.789435643565,0.6999969122974191
3200.8340465997644,0.6999898714420266
4493.984590721666,0.6999883571936151
6309.57344480193,0.6999883243379292
