lbda_tab,antiHOM_proba_tab
3.141592653589793,
4.333231246330749,
5.524869839071705,
6.71650843181266,
7.9081470245536165,
9.099785617294572,
10.291424210035528,0.5011682836689066
11.483062802776484,0.2018877878369004
12.67470139551744,0.135594670783633
13.866339988258396,0.10153755829114311
15.057978580999352,0.08828330583926916
16.249617173740308,0.07786710563069696
17.441255766481262,0.073541467033501
18.63289435922222,0.06904655106744306
19.824532951963175,0.06731406116309319
21.016171544704132,0.0649683535968668
22.207810137445087,0.06421494010005716
23.39944873018604,0.06282037611345602
24.591087322927,0.06250410526192997
25.782725915667953,0.06160170060631297
26.97436450840891,0.0615033430611298
28.166003101149865,0.06090458982347348
29.357641693890823,0.06091638063475155
30.549280286631777,0.060515046318216
31.74091887937273,0.06060514164752207
32.932557472113686,0.06032878379406388
34.124196064854644,0.060469428331430174
