lbda_tab,antiHOM_proba_tab
3.141592653589793,
4.333231246330749,
5.524869839071705,
6.71650843181266,
7.9081470245536165,
9.099785617294572,
10.291424210035528,
11.483062802776484,
12.67470139551744,
13.866339988258396,
15.057978580999352,
16.249617173740308,0.23763890826939862
17.441255766481262,0.019669005290999242
18.63289435922222,0.004996054988164739
19.824532951963175,0.008258055816988966
21.016171544704132,0.013964772515451017
22.207810137445087,0.01815062635907605
23.39944873018604,0.022515797695993264
24.591087322927,0.025247420998955834
25.782725915667953,0.02821772257466544
26.97436450840891,0.029974566437526128
28.166003101149865,0.03202666815626981
29.357641693890823,0.03317873735393344
30.549280286631777,0.03462878692423819
31.74091887937273,0.03538337118243256
32.932557472113686,0.03642484283540818
34.124196064854644,0.03692523752626489
35.3158346575956,0.03768393448093374
36.50747325033656,0.03801471961201669
37.69911184307752,0.038585184727177965
