N_step_tab,coincidence_tab
10.0,4.14560955624583e+78
14.04004245548316,6.34143980080071e+99
19.71227921517696,2.324835644321557e+118
27.67612370754228,8.02705556143077e+141
38.85739518570976,5.023663015829581e+159
54.5559478116852,2.844563067306248e+164
76.59678234751834,2.340284700140322e+139
107.542207611256,2.5259298470362414e+56
150.98971606184202,2.4859019715975785
211.99020238496072,0.8154032783598262
297.63514416313194,0.6531963312169922
417.8810060294219,0.6240125709807685
586.7067065993098,0.6180895582729736
823.7387069571012,0.6168520003784939
1156.5326417902502,0.6165888146302867
1623.776739188721,0.6165313742874262
2279.789435643565,0.6165189413222647
3200.8340465997644,0.6165163185792594
4493.984590721666,0.616515833990635
6309.57344480193,0.6165159936286646
