N_step_tab,coincidence_tab
10.0,3.5300819624255395e+78
14.04004245548316,5.590978889270877e+99
19.71227921517696,2.342689784716955e+118
27.67612370754228,8.525700691417737e+141
38.85739518570976,1.4932756087519258e+159
54.5559478116852,1.580523359571217e+166
76.59678234751834,5.198559967853281e+142
107.542207611256,4.4833773034530634e+79
150.98971606184202,13.843872475883652
211.99020238496072,0.9161627990978833
297.63514416313194,0.6475058705309605
417.8810060294219,0.5610695278249631
586.7067065993098,0.5388965249541331
823.7387069571012,0.5333963255704297
1156.5326417902502,0.5320655823272333
1623.776739188721,0.5317459559021377
2279.789435643565,0.5316692371286738
3200.8340465997644,0.5316507489142548
4493.984590721666,0.5316463029666899
6309.57344480193,0.5316454195036928
