N_step_tab,coincidence_tab
10.0,7.960042350675216e+77
14.04004245548316,6.057038313935188e+98
19.71227921517696,9.96200852221932e+116
27.67612370754228,9.489433421516767e+139
38.85739518570976,7.644163051672612e+156
54.5559478116852,1.6493241799406937e+160
76.59678234751834,5.7056568059027815e+135
107.542207611256,2.844606428434482e+68
150.98971606184202,7.403829766683773
211.99020238496072,0.7659388817526758
297.63514416313194,0.5676692769504361
417.8810060294219,0.5253411840764012
586.7067065993098,0.5156276592158917
823.7387069571012,0.5133860134217543
1156.5326417902502,0.5128688254155754
1623.776739188721,0.5127483000720621
2279.789435643565,0.5127201355370113
3200.8340465997644,0.5127135429531947
4493.984590721666,0.5127120312065013
6309.57344480193,0.5127118651962896
