ir_tab,uv_tab,coincidence_tab
26.70353755551324,32.98672286269283,0.21796948894615809
24.796142015833723,34.89411840237234,0.9043631006929522
22.888746476154203,36.80151394205186,0.6933241271351147
20.98135093647469,38.708909481731375,0.5651716283587792
19.07395539679517,40.616305021410895,0.49376684532744053
17.166559857115654,42.52370056109041,0.44652750537436525
15.259164317436138,44.43109610076993,0.4131515240197353
13.351768777756618,46.33849164044945,0.3883715099290002
11.444373238077105,48.24588718012896,0.3692585074577122
9.536977698397585,50.15328271980848,0.3531670020093115
7.629582158718069,52.060678259488,0.3409677426396436
5.722186619038553,53.96807379916751,0.3308383203498746
3.8147910793590363,55.875469338847026,0.3222957852296412
1.90739553967952,57.782864878526546,0.31499650092989273
0.0,59.690260418206066,0.3066328471702545
