ir_tab,uv_tab,coincidence_tab
25.132741228718345,31.41592653589793,0.4327030391156344
23.337545426667035,33.21112233794924,0.6291451864110879
21.542349624615724,35.00631814000055,0.3794810238893054
19.747153822564414,36.80151394205186,0.27395677366602256
17.951958020513104,38.59670974410317,0.21523993698118493
16.156762218461793,40.39190554615448,0.18254419491537652
14.361566416410483,42.18710134820579,0.16078400446811927
12.566370614359172,43.982297150257104,0.14444102172959475
10.771174812307862,45.777492952308414,0.13321281656247835
8.975979010256552,47.572688754359724,0.12453103858941336
7.180783208205241,49.367884556411035,0.11761788280848293
5.385587406153931,51.163080358462345,0.11161925904441677
3.5903916041026207,52.958276160513655,0.10699570132931913
1.7951958020513104,54.753471962564966,0.10309031626825432
0.0,56.548667764616276,0.09952868521974675
