ir_tab,uv_tab,coincidence_tab
29.845130209103036,36.128315516282626,
27.713335194167104,38.26011053121855,0.9289151811522209
25.581540179231176,40.39190554615448,0.6030871665125812
23.449745164295244,42.523700561090415,0.5439783406965173
21.317950149359312,44.65549557602635,0.5258438463036349
19.18615513442338,46.78729059096228,0.5184504359805793
17.05436011948745,48.91908560589821,0.5148821923788967
14.92256510455152,51.050880620834135,0.5129497368690448
12.790770089615588,53.18267563577007,0.5118124008115528
10.658975074679656,55.314470650706,0.5110993712725156
8.527180059743724,57.44626566564193,0.5106302246384494
6.395385044807796,59.57806068057786,0.5103094289706029
4.263590029871864,61.709855695513795,0.5100832920632894
2.131795014935932,63.84165071044973,0.5099198566687169
0.0,65.97344572538566,0.5097993566513622
