lbda_tab,antiHOM_proba_tab
3.141592653589793,
4.116569684014212,
5.09154671443863,
6.066523744863049,
7.041500775287467,0.36128187513739674
8.016477805711887,0.17990569183894073
8.991454836136304,0.1159775968288751
9.966431866560722,0.09039675894200293
10.941408896985141,0.07768702609054312
11.91638592740956,0.07333730839213734
12.891362957833978,0.06837493857139423
13.866339988258396,0.06520142956247342
14.841317018682815,0.06308743478112318
15.816294049107235,0.06282796660310387
16.791271079531654,0.06162205801224576
17.76624810995607,0.06074089753914591
18.74122514038049,0.06008403484960756
19.71620217080491,0.06028362644393176
20.69117920122933,0.05982617082366264
21.666156231653744,0.0594681102696603
22.641133262078164,0.059186287650880624
23.616110292502583,0.0594291889929628
24.591087322927,0.05921364220049248
25.56606435335142,0.05904217950815514
26.541041383775838,0.05890716280268393
27.516018414200257,0.05913626572255143
28.490995444624676,0.05903265594864948
29.465972475049092,0.05895424064694822
30.44094950547351,0.05889780904970236
31.41592653589793,0.05886079198022664
